track,artist,genre,valence_tags,arousal_tags
Born & Raised,Fake Problems,punk,7.496666666666666,5.113333333333332
Trial By Fire,Kiss,hard rock,3.85,5.64
Sunrise Calendar,Tycho,ambient,6.99,3.795
The Flower Called Nowhere,Stereolab,electronica,3.98,2.957142857142857
When I am Laid in Earth (Dido's Lament),Henry Purcell,,3.52,5.36
I'll Be Waiting,Eurielle,noise,5.510588235294118,4.205294117647059
What Is Love?,Ayọ,soul,5.51875,3.585
The River's Journey,2002,new age,7.525,3.145
Full of Fire,The Knife,experimental,3.995,3.745
Saté san,Ofasia,metal,4.186346153846154,4.564230769230769
Vulture Horticulture,Shores of Elysium,metalcore,5.0,5.28
There She Goes Again,R.E.M.,rock,5.779999999999999,2.665
5:15,Chris Isaak,pop,6.71,3.595
Cantus (Live Version),Faith and the Muse,,1.913333333333333,1.7466666666666666
Rugla,Amiina,ambient,6.12296,3.5964
Pink Matter,Frank Ocean feat. André 3000,soul,6.716666666666667,3.9
Gravaged (A Cryptosy),Cryptopsy,metal,5.0,5.28
Falling In,Tapping the Vein,gothic rock,7.295,6.565
Autumn Perspective,Vanessa Daou,electronica,5.685,3.375
Song for the New Breed,Bonnie 'Prince' Billy,singer-songwriter,3.6789565217391305,3.277652173913044
Deepchandi,Master Margherita,ambient,5.55,4.29
"You Kill Bugs Good, Man",Minus the Bear,indie rock,4.21,4.6
All About You,McFly,pop,7.099910714285714,4.3655357142857145
In the Lord's Arms,Ben Harper,rock,4.791666666666667,3.983333333333333
Я устал,Сектор Газа,oi,7.809999999999999,5.33
A Vampire's View,The Flower Kings,progressive rock,5.425,5.43
All the Rowboats,Regina Spektor,piano,6.450845070422536,5.267605633802818
Just a Little Groove,Paul W. Teebrooke,,5.88,4.05
Dreaming In Dog Years (Live At Independence D In Tokyo - Japanese Re-mix),The Red Chord,metalcore,5.0,5.28
World ♡ Princess,Grimes,experimental,2.632,1.722
Cantica Coelestis,Luc Arbogast,power pop,5.217727272727273,4.035454545454545
"Lauda Jerusalem, RV 609",Antonio Vivaldi,classical,6.95,5.0
Hymn Before Action,Karl Jenkins,classical,5.819999999999999,4.82
Gobi Desert,the khan Bogd ensemble,folk,5.97,2.385
Flamme,Die Weisse Rose,experimental,5.4,4.23
Empire State Of Mind [Ft. Alicia Keys],Jay-Z,hip-hop,7.996666666666667,6.366666666666666
Unbroken,Missy Higgins,singer-songwriter,5.894329896907217,3.371855670103093
Proxima Centauri,At the Drive-In,post-hardcore,5.174000000000001,4.608
Seaside,Devendra Banhart,folk,7.13,3.04
Modern Woman,Billy Joel,rock,7.766666666666667,5.570000000000001
The Barber Of Seville,Gioacchino Rossini,classical,7.777272727272727,5.179545454545454
Inveigh,The Bronx,rock,2.53,6.2
That's Him Over There,Nina Simone,soul,4.1242857142857146,3.4371428571428573
Watford Gap,Roy Harper,comic,7.5,4.3
Demons Sing Love Songs,Unwound,noise rock,6.317697368421054,4.447039473684211
Somethin' Special,Colbie Caillat,pop,8.063333333333333,5.953333333333333
Take a Bow,Muse,alternative rock,6.166756756756757,4.916216216216216
(And & And),Aitch,indie,6.607042253521127,4.153380281690141
Go to Her,Zombelle,new weird america,4.7,3.82
I'm Down In the Dumps,Magda Piskorczyk,vocal jazz,5.1825,4.165
Sanctus from Mass for 4 Voices,Thomas Tallis,choral,6.95,5.0
Bodyguard,Dawn Landes,folk,7.07,3.413333333333333
White Lightning,A Textbook Tragedy,chaotic hardcore,5.0,5.28
Thoroughly at Home,Animals as Leaders,progressive metal,6.9662500000000005,5.17375
Phantom Of The Night,Kayak,rock,2.86,2.045
Radiance,Anathema,doom metal,4.26253164556962,4.47746835443038
heimatflamme,Wappenbund,martial industrial,5.4,4.23
Abscission,Deathspell Omega,black metal,5.525000000000001,5.09
Spark Nasty,Vesuveo,hip-hop,7.33,5.522
Lo-Rent Sex,Black Mekon,rock,2.75,5.75
Area 51 (Nucleonic Mix),Eat Static,electronic,2.9021428571428567,1.6858333333333335
Waiting For The Worms (1994 Digital Remaster),Pink Floyd,classic rock,2.1425,3.5075
Monrose vs. Ich + Ich - What you don't know (You think I'm Strong) (S.I.R. Remix),S.I.R. Remixes,pop,6.81,5.14
The Stars,Algernon Cadwallader,emo,8.0,5.76
